,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
231,desulfated gastrin-17,peptide,['Gast'],,,,,inferred from Human
232,desulfated gastrin-34,peptide,['Gast'],,,,,inferred from Human
233,desulfated gastrin-71,peptide,['Gast'],,,,,inferred from Human
234,dynorphin A,peptide,['Pdyn'],,,,,inferred from Mouse
235,dynorphin A-(1-13),peptide,['Pdyn'],,,,,inferred from Mouse
236,dynorphin A-(1-8),peptide,['Pdyn'],,,,,inferred from Mouse
237,dynorphin B,peptide,['Pdyn'],,,,,inferred from Mouse
238,ectodysplasin A1,peptide,['Eda'],,,,,inferred from Human
239,ectodysplasin A2,peptide,['Eda'],,,,,inferred from Human
240,endothelin-1,peptide,['Edn1'],,,,,inferred from Mouse
241,endothelin-2,peptide,['Edn2'],,,,,inferred from Human
242,endothelin-3,peptide,['Edn3'],,,,,inferred from Mouse
243,epigen,peptide,['Epgn'],,,,,inferred from Human
244,epiregulin,peptide,['Ereg'],,,,,inferred from Human
245,erythropoietin,peptide,['Epo'],,,,,inferred from Human
246,galanin,peptide,['Gal'],,,,,inferred from Mouse
247,galanin-like peptide,peptide,['Galp'],,,,,inferred from Rat
248,gastric inhibitory polypeptide,peptide,['Gip'],,,,,inferred from Rat
249,gastrin-14,peptide,['Gast'],,,,,inferred from Human
250,gastrin-17,peptide,['Gast'],,,,,inferred from Human
251,gastrin-34,peptide,['Gast'],,,,,inferred from Human
252,gastrin-71,peptide,['Gast'],,,,,inferred from Human
253,gastrin-releasing peptide,peptide,"['Grp', 'Ucma']",,,,,inferred from Human
254,ghrelin,peptide,['Ghrl'],,,,,inferred from Human
255,glucagon,peptide,['Gcg'],,,,,inferred from Mouse
256,glucagon-like peptide 1-(7-36) amide,peptide,['Gcg'],,,,,inferred from Mouse
257,glucagon-like peptide 1-(7-37),peptide,['Gcg'],,,,,inferred from Mouse
258,glucagon-like peptide 2,peptide,['Gcg'],,,,,inferred from Rat
259,glucagon-like peptide 2-(2-33),peptide,['Gcg'],,,,,inferred from Rat
260,glucagon-like peptide 2-(3-33),peptide,['Gcg'],,,,,inferred from Rat
261,growth arrest specific protein 6,peptide,['Gas6'],,,,,inferred from Human
262,growth differentiation factor 15,peptide,['Gdf15'],,,,,inferred from Human
263,growth hormone 1,peptide,['Gh'],,,,,inferred from Human
264,growth hormone 2,peptide,['Gh'],,,,,inferred from Human
265,growth/differentiation factor-1,peptide,"['Cers1', 'Gdf1']",,,,,inferred from Human
266,growth/differentiation factor-10,peptide,['Gdf10'],,,,,inferred from Human
267,growth/differentiation factor-3,peptide,['Gdf3'],,,,,inferred from Human
268,growth/differentiation factor-7,peptide,['Gdf7'],,,,,inferred from Human
269,growth/differentiation factor-9,peptide,['Gdf9'],,,,,inferred from Human
270,guanylin,peptide,['Guca2a'],,,,,inferred from Human
271,guanylyl cyclase-activating protein 1,peptide,['Guca1a'],,,,,inferred from Mouse
272,hemokinin 1,peptide,['Tac4'],,,,,inferred from Mouse
273,hepatocyte growth factor,peptide,['Hgf'],,,,,inferred from Human
274,insulin,peptide,"['Ins2', 'Ins1']",,,,,inferred from Human
275,insulin-like growth factor 1,peptide,['Igf1'],,,,,inferred from Mouse
276,insulin-like growth factor 2,peptide,['Igf2'],,,,,inferred from Human
277,kallidin,peptide,"['Kng1', 'Kng2']",,,,,inferred from Human
278,kisspeptin-10,peptide,"['Gm28040', 'Kiss1']",,,,,inferred from Human
279,kisspeptin-13,peptide,"['Gm28040', 'Kiss1']",,,,,inferred from Human
280,kisspeptin-14,peptide,"['Gm28040', 'Kiss1']",,,,,inferred from Human
281,kisspeptin-54,peptide,"['Gm28040', 'Kiss1']",,,,,inferred from Human
282,large neuromedin N,peptide,['Nts'],,,,,inferred from Human
283,large neurotensin,peptide,['Nts'],,,,,inferred from Human
284,leptin,peptide,['Lep'],,,,,inferred from Human
285,liver enriched antimicrobial peptide 2,peptide,['Leap2'],,,,,inferred from Human
286,lymphotoxin-α,peptide,['Lta'],,,,,inferred from Human
287,macrophage stimulating protein 1,peptide,['Mst1'],,,,,inferred from Human
288,melanin-concentrating hormone,peptide,['Pmch'],,,,,inferred from Mouse
289,microtubule associated protein tau,peptide,['Mapt'],,,,,inferred from Human
290,mucosal addressin cell adhesion molecule 1,peptide,['Madcam1'],,,,,inferred from Human
291,myostatin,peptide,['Mstn'],,,,,inferred from Human
292,neuregulin-1,peptide,['Nrg1'],,,,,inferred from Human
293,neuregulin-2,peptide,['Nrg2'],,,,,inferred from Human
294,neuregulin-3,peptide,['Nrg3'],,,,,inferred from Human
295,neuregulin-4,peptide,['Nrg4'],,,,,inferred from Human
296,neurokinin A,peptide,['Tac1'],,,,,inferred from Mouse
297,neurokinin B,peptide,['Tac2'],,,,,inferred from Mouse
298,neuromedin B,peptide,['Nmb'],,,,,inferred from Mouse
299,neuromedin N,peptide,['Nts'],,,,,inferred from Mouse
300,neuromedin S-33,peptide,['Nms'],,,,,inferred from Human
301,neuromedin U-23,peptide,['Nmu'],,,,,inferred from Rat
302,neuromedin U-25,peptide,['Nmu'],,,,,inferred from Human
303,neuromedin U-8,peptide,['Nmu'],,,,,inferred from Human
304,neuropeptide B-23,peptide,['Npb'],,,,,inferred from Human
305,neuropeptide B-29,peptide,['Npb'],,,,,inferred from Human
306,neuropeptide FF,peptide,['Npff'],,,,,inferred from Mouse
307,neuropeptide K,peptide,['Tac1'],,,,,inferred from Rat
308,neuropeptide S,peptide,['Nps'],,,,,inferred from Mouse
309,neuropeptide W-23,peptide,['Npw'],,,,,inferred from Human
310,neuropeptide W-30,peptide,['Npw'],,,,,inferred from Human
311,neuropeptide Y,peptide,['Npy'],,,,,inferred from Mouse
312,neuropeptide Y-(3-36),peptide,['Npy'],,,,,inferred from Mouse
313,neuropeptide γ,peptide,['Tac1'],,,,,inferred from Mouse
314,neurotensin,peptide,['Nts'],,,,,inferred from Mouse
315,neurotrophin-3,peptide,['Ntf3'],,,,,inferred from Human
316,neurotrophin-4,peptide,['Ntf5'],,,,,inferred from Human
317,nociceptin/orphanin FQ,peptide,['Pnoc'],,,,,inferred from Mouse
318,norrin,peptide,['Ndp'],,,,,inferred from Mouse
319,oncostatin M,peptide,['Osm'],,,,,inferred from Human
320,orexin-A,peptide,['Hcrt'],,,,,inferred from Mouse
321,orexin-B,peptide,['Hcrt'],,,,,inferred from Human
322,osteocrin,peptide,['Ostn'],,,,,inferred from Human
323,oxytocin,peptide,['Oxt'],,,,,inferred from Mouse
324,pancreatic polypeptide,peptide,['Ppy'],,,,,inferred from Rat
325,peptide YY,peptide,['Pyy'],,,,,inferred from Mouse
326,programmed cell death 1 ligand 1,peptide,['Cd274'],,,,,inferred from Human
327,prokineticin-1,peptide,['Prok1'],,,,,inferred from Human
328,prokineticin-2,peptide,['Prok2'],,,,,inferred from Human
329,prokineticin-2β,peptide,['Prok2'],,,,,inferred from Human
330,prolactin,peptide,['Prl'],,,,,inferred from Human
331,prosaptide,peptide,['Psap'],,,,,inferred from Human
332,protein S,peptide,['Pros1'],,,,,inferred from Human
333,relaxin,peptide,['Rln1'],,,,,inferred from Rat
334,relaxin-1,peptide,"['Rln1', 'Rln1']",,,,,inferred from Human
335,relaxin-3,peptide,['Rln3'],,,,,inferred from Human
336,relaxin-3 (B chain),peptide,['Rln3'],,,,,inferred from Human
337,ribosomal protein S19,peptide,['Rps19'],,,,,inferred from Human
338,secretin,peptide,['Sct'],,,,,inferred from Rat
339,stem cell factor,peptide,['Kitl'],,,,,inferred from Human
340,substance P,peptide,['Tac1'],,,,,inferred from Mouse
341,thrombopoietin,peptide,['Thpo'],,,,,inferred from Human
342,thymic stromal lymphopoietin,peptide,['Tslp'],,,,,inferred from Human
343,tumour necrosis factor membrane form,peptide,['Tnf'],,,,,inferred from Human
344,tumour necrosis factor shed form,peptide,['Tnf'],,,,,inferred from Human
345,urocortin 1,peptide,['Ucn'],,,,,inferred from Mouse
346,urocortin 2,peptide,['Ucn2'],,,,,inferred from Mouse
347,urocortin 3,peptide,['Ucn3'],,,,,inferred from Mouse
348,uroguanylin,peptide,['Guca2b'],,,,,inferred from Human
349,urotensin II-related peptide,peptide,['Uts2b'],,,,,inferred from Mouse
350,urotensin-II,peptide,['Uts2'],,,,,inferred from Mouse
351,vasopressin,peptide,['Avp'],,,,,inferred from Mouse
352,xenin,peptide,['Copa'],,,,,inferred from Mouse
353,α-CGRP,peptide,['Calca'],,,,,inferred from Mouse
354,α-MSH,peptide,['Pomc'],,,,,inferred from Mouse
355,α-neoendorphin,peptide,['Pdyn'],,,,,inferred from Mouse
356,β-CGRP,peptide,['Calcb'],,,,,inferred from Rat
357,β-endorphin,peptide,['Pomc'],,,,,inferred from Human
358,β-neoendorphin,peptide,['Pdyn'],,,,,inferred from Mouse
359,γ-MSH,peptide,['Pomc'],,,,,inferred from Mouse
360,L-glutamic acid,molecule,,,"['Slc17a6', 'Slc17a7', 'Slc17a8']","['Slc1a1', 'Slc1a2', 'Slc1a6']",,Manually added genes
361,GABA,molecule,,"['Gad1', 'Gad2']",['Slc32a1'],['Slc6a1'],,Manually added genes
362,glycine,molecule,,,['Slc32a1'],['Slc6a9'],,Manually added genes
363,dopamine,molecule,,"['Th', 'Ddc']","['Slc18a2', 'Slc18a3']",['Slc6a3'],['Dbh'],Manually added genes
364,(-)-noradrenaline,molecule,,"['Th', 'Ddc', 'Dbh']","['Slc18a2', 'Slc18a3']",['Slc6a3'],['Pnmt'],Manually added genes
365,(-)-adrenaline,molecule,,"['Th', 'Ddc', 'Dbh', 'Pnmt']",['Slc18a2'],,,Manually added genes
366,5-hydroxytryptamine,molecule,,"['Tph2', 'Ddc']",['Slc18a2'],['Slc6a4'],,Manually added genes
367,acetylcholine,molecule,,['Chat'],['Slc18a3'],"['Ache', 'Slc5a7']",,Manually added genes
